"Time","Potential"
3.288,1.173
3.290,1.173
3.292,1.173
3.294,1.173
3.296,1.170
3.298,1.170
3.300,1.167
3.302,1.170
3.304,1.173
3.306,1.173
3.308,1.164
3.310,1.170
3.312,1.170
3.314,1.170
3.316,1.173
3.318,1.167
3.320,1.158
3.322,1.161
3.324,1.167
3.326,1.173
3.328,1.173
3.330,1.170
3.332,1.164
3.334,1.155
3.336,1.167
3.338,1.170
3.340,1.167
3.342,1.167
3.344,1.158
3.346,1.155
3.348,1.164
3.350,1.164
3.352,1.161
3.354,1.164
3.356,1.149
3.358,1.152
3.360,1.152
3.362,1.155
3.364,1.161
3.366,1.146
3.368,1.152
3.370,1.146
3.372,1.149
3.374,1.152
3.376,1.155
3.378,1.140
3.380,1.149
3.382,1.149
3.384,1.149
3.386,1.152
3.388,1.146
3.390,1.146
3.392,1.137
3.394,1.149
3.396,1.149
3.398,1.149
3.400,1.149
3.402,1.140
3.404,1.146
3.406,1.146
3.408,1.149
3.410,1.149
3.412,1.149
3.414,1.149
3.416,1.140
3.418,1.143
3.420,1.143
3.422,1.146
3.424,1.146
3.426,1.143
3.428,1.137
3.430,1.137
3.432,1.137
3.434,1.140
3.436,1.137
3.438,1.137
3.440,1.130
3.442,1.134
3.444,1.137
3.446,1.137
3.448,1.122
3.450,1.127
3.452,1.130
3.454,1.130
3.456,1.134
3.458,1.137
3.460,1.127
3.462,1.115
3.464,1.124
3.466,1.130
3.468,1.130
3.470,1.130
3.472,1.130
3.474,1.122
3.476,1.122
3.478,1.124
3.480,1.122
3.482,1.124
